Name,Pos,,,Rot,,,Scale,,,,,
Floor,8.5,0,0,0,0,0,175,1,105,Floor,,
Wall,100,15,0,0,0,0,1,30,15,Wall,,
Wall,95,15,27.5,0,0,0,20,30,40,Wall,,
Wall,95,15,-27.5,0,0,0,20,30,40,Wall,,
Wall,0,15,-50,0,0,0,179,30,30,Wall,,
Wall,-85.5,10,27.5,0,0,0,30,30,125,Wall,,
Wall,50,15,72.5,0,0,0,75,30,75,Wall,,
Wall,-57,15,100,0,0,0,40,30,20,Wall,,
Wall,-7,15,100,0,0,0,40,30,20,Wall,,
Wall,-32,15,105,0,0,0,10,30,1,Wall,,
Wall,17.5,10,20,0,0,0,10,30,30,Wall,,
Wall,17.5,10,-20,0,0,0,10,30,30,Wall,,
Wall,-5,10,50,0,0,0,37.5,30,10,Wall,,
Wall,-52.5,20,5,0,0,0,37.5,30,10,Wall,,
Door,17,10,-0.5,0,0,0,5,30,10,0,1,AreaDoorBLUE
Door,-28.85,15,50,0,0,0,10,30,5,1,2,AreaDoorBLUCK
Switch,76,0.4,25,0,0,0,10,0.5,10,0,1,BLUESWITCH
Switch,30,0.4,-28.5,0,0,0,10,0.5,10,1,2,BLUCKSWITCH
Switch,-58,0.4,30,0,0,0,10,0.5,10,1,2,BLUCKSWITCH
GoalBeforeFloor,-30,0,71.5,0,0,0,100,1,40,Floor,,
GoalFloor,-32.5,0,100,0,0,0,15,1,15,Floor,,
StageDoor,-32,0,86,0,XM_PIDIV2,0,5,5,5,DOOR,,
StageDoor,82,0,0,0,-1.570796327,0,5,5,5,DOOR,,
Enemy,-50,2,22.5,0,0,0,3,3,3,,,
Enemy,-14.5,2,22.5,0,0,0,3,3,3,,,
Enemy,-35,2,14.5,0,0,0,3,3,3,,,
