Name,Pos,,,Rot,,,Scale,,
FixedBox,0.50,1.40,0.00,0.00,0.00,0.00,15.60,0.50,0.10
FixedBox,7.75,0.00,0.00,0.00,0.00,0.00,0.20,3.20,0.10
FixedBox,-7.70,0.00,0.00,0.00,0.00,0.00,0.20,3.20,0.10
FixedBox,-6.00,-1.50,0.00,0.00,0.00,0.00,3.10,0.30,0.10
FixedBox,5.30,-1.50,0.00,0.00,0.00,0.00,5.10,0.30,0.10
FixedBox,1.45,-1.50,0.00,0.00,0.00,0.00,1.60,0.30,0.10
FixedBox,-1.15,-1.50,0.00,0.00,0.00,0.00,2.40,0.30,0.10
FixedBox,-2.85,-1.30,0.00,0.00,0.00,0.00,0.20,0.70,0.10
FixedBox,-3.45,-1.30,0.00,0.00,0.00,0.00,0.20,0.70,0.10
FixedBox,-4.05,-1.30,0.00,0.00,0.00,0.00,0.20,0.70,0.10
FixedBox,-5.55,0.20,0.00,0.00,0.00,0.00,0.20,1.90,0.10
FixedBox,-1.70,0.20,0.00,0.00,0.00,0.00,0.30,1.90,0.10
FixedBox,-6.55,0.90,0.00,0.00,0.00,0.00,1.90,0.50,0.10
FixedBox,3.55,0.20,0.00,0.00,0.00,0.00,0.20,1.90,0.10
FixedBox,-4.55,-1.15,0.00,0.00,0.00,0.00,0.20,0.40,0.10
FixedBox,-2.25,-1.15,0.00,0.00,0.00,0.00,0.20,0.40,0.10
FixedBox,2.90,-1.10,0.00,0.00,0.00,0.00,0.30,0.50,0.10
FixedBox,2.15,-1.00,0.00,0.00,0.00,0.00,0.20,0.70,0.10
FixedBox,1.00,-0.35,0.00,0.00,0.00,0.00,1.30,0.20,0.10
FixedBox,6.50,-0.40,0.00,0.00,0.00,0.00,0.70,0.10,0.10
FixedBox,5.40,-0.40,0.00,0.00,0.00,0.00,0.70,0.10,0.10
FixedBox,4.30,-0.40,0.00,0.00,0.00,0.00,0.70,0.10,0.10
FixedBox,5.95,-0.90,0.00,0.00,0.00,0.00,0.60,0.10,0.10
FixedBox,4.85,-0.90,0.00,0.00,0.00,0.00,0.60,0.10,0.10
FixedBox,5.90,0.20,0.00,0.00,0.00,0.00,0.30,0.10,0.10
FixedBox,4.30,0.20,0.00,0.00,0.00,0.00,0.30,0.10,0.10
FixedBox,5.10,0.55,0.00,0.00,0.00,0.00,0.90,0.20,0.10
FixedBox,3.80,0.55,0.00,0.00,0.00,0.00,0.90,0.20,0.10
